ID,Title,Original title,Popularity,Overview,Keywords,Genres,Collection,Original Language,Spoken Languages,Production Companies,Production Countries,Director,Release date,Runtime,Status,Tagline,Homepage,imdb_id,Budget,Revenue,Release year
1587,Argo,Argo,14.238234,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.","cia, wife husband relationship, revolution, hiding place, press conference, biography, hanged man, american abroad, extraction, iran hostage crisis, intelligence agent, langley virginia, 1980s",Drama,Missing,en,"English, فارسی","GK Films, Warner Bros., Smokehouse Pictures",United States of America,Ben Affleck,10/11/12,120,Released,The movie was fake. The mission was real.,http://argothemovie.warnerbros.com/,tt1024648,44500000,232324128,2012
1588,Highlander II: The Quickening,Highlander II: The Quickening,8.032638,"In the year 2025, the ozone layer is believed to have been destroyed. It is up to MacLeod and Rameriz to set things right. Opposition comes from both the planet Ziest (MacLeod and Ramirez's homeworld) and a corporation profiting from the supposed lack of ozone. Also, flashbacks show the story behind MacLeod and Ramirez's exile from Ziest.","new york, scotland, immortality",Action,Highlander Collection,en,English,Lamb Bear Entertainment,"Argentina, France, United Kingdom",Russell Mulcahy,1/30/91,91,Released,It's a kind of magic.,Missing,tt0102034,30000000,15556340,1991
1589,Whiskey Tango Foxtrot,Whiskey Tango Foxtrot,8.155604,"In 2002, cable news producer Kim Barker (Tina Fey) decides to shake up her routine by taking a daring new assignment in Kabul, Afghanistan. Dislodged from her comfortable American lifestyle, Barker finds herself in the middle of an out-of-control war zone. Luckily, she meets Tanya Vanderpoel (Margot Robbie), a fellow journalist who takes the shellshocked reporter under her wing. Amid the militants, warlords and nighttime partying, Barker discovers the key to becoming a successful correspondent.","journalist, based on novel, journalism, kidnapping, afghanistan, war, taliban, based on true story, rescue, drone, terrorism, soldier, foreign correspondent, embedded journalism, war journalist",War,Missing,en,English,"Paramount Pictures, Broadway Video, Little Stranger",United States of America,"Glenn Ficarra, John Requa",3/4/16,112,Released,From the headlines to the front lines,http://www.whiskeytangofoxtrotthemovie.com/,tt3553442,35000000,23083334,2016
1590,The Hero,The Hero,6.549788,"Lee, a former Western film icon, is living a comfortable existence lending his golden voice to advertisements and smoking weed. After receiving a lifetime achievement award and unexpected news, Lee reexamines his past, while a chance meeting with a sardonic comic has him looking to the future.","comedian, cancer, marijuana, older man younger woman relationship, drug, stand-up comedian, audition, aging actor, divorced man, divorced father, award, actor, estranged daughter",Drama,Missing,en,English,"Northern Lights Films, Park Pictures, Houston King Productions",United States of America,Brett Haley,6/9/17,97,Released,Missing,Missing,tt5655222,0,3384747,2017
1591,Ain't Them Bodies Saints,Ain't Them Bodies Saints,5.086013,The tale of an outlaw who escapes from prison and sets out across the Texas hills to reunite with his wife and the daughter he has never met.,"1970s, river, texas, shooting, outlaw, escape from prison, family relationships, fugitive, police officer, prison escape, suitcase full of money, outlaw couple",Crime,Missing,en,English,"Parts and Labor, Upload Films, Paradox Entertainment, Sailor Bear, Primary Productions, Evolution Independent, Lagniappe Films",United States of America,David Lowery,7/3/13,96,Released,Missing,Missing,tt2388637,0,1031243,2013
1592,Arachnophobia,Arachnophobia,5.418428,"A large spider from the jungles of South America is accidentally transported in a crate with a dead body to America where it mates with a local spider. Soon after, the residents of a small California town disappear as the result of spider bites from the deadly spider offspring. It's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks.","small town, outbreak, exterminator, spider bite, creature feature, spider queen, animal attack, spiders, invasive species, arachnophobia, animal horror, spider general",Comedy,Missing,en,"English, Español","Amblin Entertainment, Hollywood Pictures, Tangled Web Productions",United States of America,Frank Marshall,8/9/90,103,Released,"Eight legs, two fangs, and an attitude.",Missing,tt0099052,31000000,53208180,1990
1593,The Lost Weekend,The Lost Weekend,8.731331,"Don Birnam, a long-time alcoholic, has been sober for ten days and appears to be over the worst... but his craving has just become more insidious. Evading a country weekend planned by his brother and girlfriend, he begins a four-day bender that just might be his last - one way or another.","desperation, weekend, delirium, addiction, alcoholism, writer, alcoholic, bats, suicidal thoughts, low self esteem, film noir, paranoid",Drama,Missing,en,English,Paramount,United States of America,Billy Wilder,11/25/45,101,Released,The screen dares to open the strange and savage pages of a shocking bestseller!,Missing,tt0037884,1250000,11000000,1945
1594,Four Brothers,Four Brothers,6.84109,Four adopted brothers return to their Detroit hometown when their mother is murdered and vow to exact revenge on the killers.,"brother brother relationship, robbery, arbitrary law, adoptive mother, revenge, murder, violence, detroit, duringcreditsstinger, interracial adoption",Action,Missing,en,"Español, English","Paramount Pictures, Di Bonaventura Pictures",United States of America,John Singleton,8/11/05,109,Released,They came home to bury mom... and her killer,http://fourbrothersmovie.com,tt0430105,45000000,92374674,2005
1595,Quarantine,Quarantine,6.140116,A television reporter and her cameraman are trapped inside a building quarantined by the CDC after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.,"quarantine, remake, tv reporter, found footage, virus",Horror,Quarantine Collection,en,English,"Vertigo Entertainment, Screen Gems, Andale Pictures",United States of America,John Erick Dowdle,10/10/08,89,Released,Contain The Truth.,Missing,tt1082868,12000000,40855419,2008
1596,Coherence,Coherence,6.851243,"On the night a comet is passing near Earth, eight friends at a dinner party experience a troubling chain of reality bending events. When the power goes out, they discover that the only house on the street left with power also holds many secrets.","paranoia, comet, alter ego, power outage, candle, parallel world, alternate reality, dinner party, ketamine, quantum physics, broken cellphone, glowstick",Thriller,Missing,en,English,"Ugly Duckling Films, Bellanova Films",United States of America,James Ward Byrkit,9/19/13,89,Released,Nothing is random,Missing,tt2866360,0,102617,2013
1597,Billy Madison,Billy Madison,6.638116,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",woman director,Comedy,Missing,en,"Français, Español, English",Jack Giarraputo Productions,United States of America,Tamra Davis,2/10/95,89,Released,Billy is going back to school... Way back.,Missing,tt0112508,10000000,26488734,1995
1598,Not Another Teen Movie,Not Another Teen Movie,9.101896,"On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled plain Jane into a beautiful and popular prom queen in this outrageous send-up of the teen movie genre.","underdog, ball, kiss, high school, school party, parody, crush, teenage crush, prom queen, sitting on a toilet, aftercreditsstinger, duringcreditsstinger",Comedy,Missing,en,English,"Original Film, Columbia Pictures Corporation, Neal H. Moritz Productions",United States of America,Joel Gallen,12/7/01,89,Released,They served you Breakfast. They gave you Pie. Now we’re gonna stuff your face.,Missing,tt0277371,16000000,66468332,2001
1599,X-Men Origins: Wolverine,X-Men Origins: Wolverine,1.456541,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.","corruption, mutant, boxer, army, marvel comic, superhero, aftercreditsstinger, duringcreditsstinger",Adventure,The Wolverine Collection,en,English,"Ingenious Film Partners, Twentieth Century Fox Film Corporation, Donners' Company, Dune Entertainment, Seed Productions, Bad Hat Harry Productions, Big Screen Productions, Marvel Enterprises",United States of America,Gavin Hood,4/28/09,107,Released,Witness the Origin.,http://www.x-menorigins.com/,tt0458525,150000000,373062864,2009
1600,Dreaming of Space,Космос как предчувствие,0.570293,"A story of a simple, naive Russian man Konek and the people around him: his love and her sister and a mysterious man. The film is set in 1957, time of changes, time of waiting for something big to happen.",Missing,Drama,Missing,ru,Pусский,Studio Rock,Russia,Aleksey Uchitel,6/23/05,90,Released,Missing,Missing,tt0464665,2000000,696681,2005
1601,The Big Bounce,The Big Bounce,6.496271,"A small-time con artist and a Hawaiian real estate developer's mischievous, enterprising mistress team up for a potential $200,000 score.","hotel, robbery, based on novel, judge, hawaii, blackmail, seduction, yacht, waterfall, delinquency, safe, stolen money, deception, skinny dipping, cell phone, double cross, beach house, elmore leonard, scheming, yellow bikini",Comedy,Missing,en,English,"Shangri-La Entertainment, Material, Taormina Productions",United States of America,George Armitage,1/30/04,88,Released,It's all in who you trust,Missing,tt0315824,50000000,6808550,2004
1602,Dracula Untold,Dracula Untold,16.316318,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, including Vlad's son, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula.","vampire, dracula, bite, battle, 15th century, ottoman empire, vlad, fang vamp, tepes",Horror,Missing,en,English,"Universal Pictures, Legendary Pictures, Fuji Television Network, Dentsu, Michael De Luca Productions",United States of America,Gary Shore,10/1/14,92,Released,Every bloodline has a beginning,Missing,tt0829150,70000000,215529201,2014
1603,Traces of Red,Traces of Red,0.575656,"Jack, a Palm Beach detective, becomes involved in a case of multiple murders. All the women can be linked to Jack in some way. Jack and his partner have no leads, but numerous suspects. The murders continue, along with anonymous letters from the killer.",Missing,Drama,Missing,en,English,Samuel Goldwyn Company,United States of America,Andy Wolk,11/13/92,105,Released,No one is beyond suspicion.,Missing,tt0105631,0,3206713,1992
1604,12 Rounds,12 Rounds,13.591485,"When New Orleans cop Danny Fisher prevents a brilliant thief from successfully carrying out his latest heist, the thief's girlfriend is accidentally killed. Hungry for revenge, the criminal mastermind breaks out of prison and kidnaps Danny's fiancee. To save her, Danny must successfully navigate his way through an elaborate series of tasks and puzzles, or else watch the love of his life die.","police, cops, cat and mouse, family, revenge drama",Action,12 Rounds Collection,en,"Český, English","The Mark Gordon Company, Fox Atomic, 20th Century Fox Home Entertainment, WWE Studios, Midnight Sun Pictures",United States of America,Renny Harlin,3/19/09,108,Released,Survive all 12,http://www.12rounds-movie.com/,tt1160368,20000000,17280326,2009
1605,10 to Midnight,10 to Midnight,3.372304,"Based on the real-life Richard Speck murders, amoral, nearly psychotic killer Warren Stacey (Gene Davis) is a serial killer who has murdered a number of women; he stabs them while they are naked to minimize leaving any physical evidence. Police detective Leo Kessler (Charles Bronson) is convinced of Stacey‚Äôs guilt and, over the objections of his partner, plants evidence to get him behind bars. When Stacey is released on a technicality, he threatens to go after Kessler and his family, leaving Kessler to defend himself against a killer with little help from the police.","female nudity, detective, evidence, victim, police, murder, stalking, serial killer, slasher, los angeles, violence, killer, guilt, journal, naked, psycho killer, psycho, perjury, question, obscene telephone call",Horror,Missing,en,"English, Português","Cannon Group, City Films, Y & M Productions",United States of America,J. Lee Thompson,3/11/83,101,Released,A cop... A killer... A deadline.,Missing,tt0085121,4520000,7175592,1983
1606,Human Capital,Il capitale umano,7.217205,The destinies of two families are irrevocably tied together after a cyclist is hit off the road by a jeep in the night before Christmas Eve.,Missing,Drama,Missing,it,Italiano,"Indiana Production Company, Motorino Amaranto",Italy,Paolo Virz√¨,1/9/14,111,Released,Missing,Missing,tt2465578,6000000,5809330,2014
1607,Louder Than Bombs,Louder Than Bombs,12.293202,"Three years after his wife, acclaimed photographer Isabelle Reed, dies in a car crash, Gene keeps everyday life going with his shy teenage son, Conrad. A planned exhibition of Isabelle‚Äôs photographs prompts Gene's older son, Jonah, to return to the house he grew up in - and for the first time in a very long time, the father and the two brothers are living under the same roof.","usa, brother brother relationship, father son relationship, car accident, death of mother, father son reunion, existentialism, death of wife",Drama,Missing,en,"English, Français","Motlys, Arte France Cinéma, Animal Kingdom","Denmark, France, Germany, Norway, United States of America",Joachim Trier,5/18/15,109,Released,Missing,http://www.motlys.com/louder-than-bombs,tt2217859,11000000,161789,2015
1608,The Ottoman Lieutenant,The Ottoman Lieutenant,13.256679,"Lillie, a determined American woman, ventures overseas to join Dr. Jude at a remote medical mission in the Ottoman Empire (now Turkey). However, Lillie soon finds herself at odds with Jude and the mission‚Äôs founder, Woodruff, when she falls for the titular military man, Ismail, just as the war is about to erupt.","nurse, world war i, lieutenant, ottoman empire",Romance,Missing,en,English,Eastern Sunrise Films,"Turkey, United States of America",Joseph Ruben,3/10/17,111,Released,The Ottoman Lieutenant is a love story between an idealistic American nurse and a Turkish officer in World War I.,Missing,tt4943322,40000000,240978,2017
1609,Alien³,Alien³,17.126768,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can.","prison, android, spacecraft, space marine, imprisonment, space colony, space travel, rottweiler, dystopia, sequel, alien, redemption, outer space, planet, shaved head, crash landing, impregnation, penal colony, furnace, suspended animation, xenomorph",Science Fiction,Alien Collection,en,English,"Twentieth Century Fox Film Corporation, Brandywine Productions","United Kingdom, United States of America",David Fincher,5/22/92,114,Released,The bitch is back.,Missing,tt0103644,50000000,159773545,1992
1610,High Art,High Art,7.601439,"A young female intern at a small magazine company becomes involved with a drug-addicted lesbian photographer, both of whom seek to exploit each other for their respective careers, while slowly falling in love with each other.","sex, photographer, nudity, exploitation, career, magazine, photography, addiction, love, lesbian, drug, intern, woman director",Drama,Missing,en,English,"October Films, Antidote Films (I), 391 Productions",United States of America,Lisa Cholodenko,6/12/98,101,Released,"a story of ambition, sacrifice, seduction and other career moves.",Missing,tt0139362,0,1929168,1998
1611,Whatever It Takes,Whatever It Takes,3.550711,"A nerdy teen, Ryan Woodman is smitten with the popular and gorgeous Ashley Grant, who apparently has no interest in him. Meanwhile, dim star athlete Chris Campbell has his eye on Ryan's brainy and beautiful friend, Maggie Carter. The two agree to help each other in their romantic quests, but, as they come closer to their goals, both Ryan and Chris suspect that they might be pursuing the wrong girls.",Missing,Drama,Missing,en,English,Columbia Pictures Corporation,United States of America,David Raynr,3/31/00,94,Released,How low will they go to get the girls of their dreams?,Missing,tt0202402,15000000,9902115,2000
1612,Snake Eyes,Snake Eyes,11.604533,"All bets are off when corrupt homicide cop Rick Santoro witnesses a murder during a boxing match. It's up to him and lifelong friend and naval intelligence agent Kevin Dunne to uncover the conspiracy behind the killing. At every turn, Santoro makes increasingly shocking discoveries that even he can't turn a blind eye to.","casino, political activism, boxer, mission of murder, boxing match, suspense, police officer, witness to murder",Crime,Missing,en,"Český, English","Paramount Pictures, DeBart, Touchstone Pictures, Mel's Cite du Cinema","Canada, United States of America",Brian De Palma,8/7/98,98,Released,Believe everything except your eyes.,Missing,tt0120832,73000000,103891409,1998
1613,Cool Runnings,Cool Runnings,8.30721,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.","winter, trainer, olympic games, jamaica, training camp, reggae, bobsleighing, sport",Comedy,Missing,en,"English, Français, Deutsch, Pусский",Walt Disney,United States of America,Jon Turteltaub,9/30/93,98,Released,One dream. Four Jamaicans. Twenty below zero.,Missing,tt0106611,14000000,154864401,1993
1614,The Life of David Gale,The Life of David Gale,9.930326,A man against capital punishment is accused of murdering a fellow activist and is sent to death row.,"prison, journalist, texas, professor, death penalty, death row, interview, murder, reporter, intern, innocent, activist",Drama,Missing,en,"English, Español","Mikona Productions GmbH & Co. KG, Universal Pictures, Intermedia Films, Saturn Films, Dirty Hands Productions","Germany, United Kingdom, United States of America",Alan Parker,2/21/03,130,Released,The crime is clear. The truth is not.,Missing,tt0289992,50000000,38955598,2003
1615,House on Haunted Hill,House on Haunted Hill,10.187278,"A remake of the 1959 film of the same name. A millionaire offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.","lunatic asylum, aftercreditsstinger",Horror,House on Haunted Hill Collection,en,English,"Dark Castle Entertainment, Warner Bros.",United States of America,William Malone,10/29/99,93,Released,Evil loves to party.,Missing,tt0185371,19000000,40846082,1999
1616,District 9,District 9,11.589835,"Aliens land in South Africa and, with their ship totally disabled,  have no way home. Years later, after living in a slum and wearing out their welcome the 'Non-Humans' are being moved to a new tent city overseen by Multi-National United (MNU).","slum, street gang, mutation, south africa, johannesburg, dystopia, genetics, government, satire, alien, prawn, mockumentary, alternate history, racism, metamorphosis, xenophobia, internment camp, body transformation, alien technology, segregation",Science Fiction,Missing,en,"Afrikaans, , , , isiZulu, English","WingNut Films, TriStar Pictures, Key Creatives, Block / Hanson, Canadian Film or Video Production Tax Credit (CPTC), The Department of Trade and Industry of South Africa, QED International, Province of British Columbia Production Services Tax Credit, District 9, New Zealand Post Digital and Visual Effects Grant","United States of America, New Zealand, Canada, South Africa",Neill Blomkamp,8/5/09,112,Released,You are not welcome here.,http://www.d-9.com/,tt1136608,30000000,210819611,2009
1617,The River,The River,6.303384,"Farming family battles severe storms, a bank threatening to reposses their farm, and other hard times in a battle to save and hold on to their farm.",river,Drama,Missing,en,English,Universal Pictures,United States of America,Mark Rydell,12/1/84,122,Released,He might be able to hold back the river. But could he hold back the greed of man?,Missing,tt0088007,18000000,11500000,1984
1618,The Assassination of Richard Nixon,The Assassination of Richard Nixon,10.107677,"It‚Äôs 1974 and Sam Bicke has lost everything. His wife leaves him with his three kids, his boss fires him, his brother turns away from him, and the bank won‚Äôt give him any money to start anew. He tries to find someone to blame for his misfortunes and comes up with the President of the United States who he plans to murder.","suicide, disillusion, brother brother relationship, corruption, robbery, airport, white house, usa president, depression, wife husband relationship, suicide attempt, cheating, salesclerk, hostage, car dealer, attempted murder, despair, audio tape, vietnam, vietnam war, planned murder, car mechanic, airplane, leonard bernstein, watergate scandal, car dealing, black panthers, hijacking, loan credit, mental breakdown, marriage, unsociability, delusion, revenge, suicide mission, divorce, humiliation, social issues",Drama,Missing,en,English,"Monsoon Pictures, Open City Films, Anhelo Productions, Appian Way",United States of America,,5/17/04,95,Released,The mad story of a true man.,Missing,tt0364961,0,3537961,2004
1619,A Place Called Chiapas,A Place Called Chiapas,0.179246,"On January 1, 1994, the Zapatista National Liberation Army--made up of impoverished Mayan Indians from the state of Chiapas--took over five towns and 500 ranches in southern Mexico. The government deployed its troops, and at least 145 people died in the ensuing battle. Fighting for indigenous Mexicans to regain control over their lives and the land, the Zapatistas and their charismatic leader, guerilla poet Subcomandante Marcos, began sending their message to the world via the Internet. The result was what THE NEW YORK TIMES called ""the world‚Äôs first postmodern revolution."" Years into the uprising, filmmaker Nettie Wild traveled to the jungle canyons of southern Mexico to film the elusive and fragile life of the rebellion. Her camera effectively and movingly captures the personal stories behind a very public clash of traditional culture and globalization.",woman director,Documentary,Missing,en,"English, Español",,Canada,Nettie Wild,2/20/98,89,Rumored,Inside the world's first postmodern revolution,Missing,tt0145394,891000,229000,1998
1620,Finding Forrester,Finding Forrester,10.536255,Gus van Sant tells the story of a young African American man named Jamal who confronts his talents while living on the streets of the Bronx. He accidentally runs into an old writer named Forrester who discovers his passion for writing. With help from his new mentor Jamal receives a scholarship to a private school.,"upper class, brother brother relationship, scotland, poetry, based on novel, mentor, becoming an adult, professor, literature, intellectually gifted, plagiarism, literature competition, private school, manuscript, seclusion, pulitzer prize, dying and death, idol, friendship, unsociability, high school, scholarship, father figure",Drama,Missing,en,English,"Fountainbridge Films, Laurence Mark Productions, Columbia Pictures Corporation, Finding Forrester Productions",United States of America,Gus Van Sant,12/21/00,136,Released,"In an ordinary place, he found the one person to make his life extraordinary.",Missing,tt0181536,43000000,80049764,2000
1621,First Knight,First Knight,15.178338,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.","camelot, knight, king arthur, excalibur, knights of the round table",Action,Missing,en,"English, Français","Columbia Pictures Corporation, First Knight Productions",United States of America,Jerry Zucker,7/7/95,134,Released,Their greatest battle would be for her love.,Missing,tt0113071,55000000,127600435,1995
1622,Cabin in the Sky,Cabin in the Sky,1.233446,"Chronic gambler and carouser ""Little"" Joe Jackson is shot by Domino Johnson at Jim Henry's gambling club over an outstanding gambling debt. Little Joe's wife, the God-fearing Petunia Jackson, prays not only for her husband's mortal life, but also his eternal soul as she's afraid that if he dies now, he, despite not being an evil man, won't make it into heaven. As Little Joe is close to death, he is visited by agents of both the Lord and of Lucifer. They make a deal with him: they will give him six months to atone for the errors of his human life. Once back on Earth, he won't remember the deal but both the Lord and Lucifer will be watching over him, trying to get him to see things their way. As both sides try to get Little Joe's soul, they figure that some of the most powerful tools they have at their disposal are the women in Little Joe's life: Petunia on behalf of the Lord, and Georgia Brown, a gold-digging floozy, on behalf of Lucifer.","angel, hell, prayer, shooting, singer, church, gambler",Fantasy,Missing,en,English,Metro-Goldwyn-Mayer (MGM),United States of America,"Vincente Minnelli, Busby Berkeley",4/9/43,98,Released,At Last on the Screen! The Musical Comedy Sensation!,Missing,tt0035703,662141,1606624,1943
1623,Jackpot,Jackpot,0.218588,"Sunny Holiday, an aspiring singing star, abandons his wife and young baby to set off on a nine-month tour of bleak western towns. He takes off with his road manager in a pink Chrysler in search of their own version of the American Dream: a country loving audience.",Missing,Missing,Missing,en,,,,Michael Polish,7/26/01,97,Released,Missing,Missing,tt0261755,400000,43719,2001
1624,Rififi,Du rififi chez les hommes,4.071187,"Out of prison after a five-year stretch, jewel thief Tony (Jean Servais) turns down a quick job his friend Jo (Carl Mohner) offers him, until he discovers that his old girlfriend Mado (Marie Sabouret) has become the lover of local gangster Pierre Grutter (Marcel Lupovici) during Tony's absence. Expanding a minor smash-and-grab into a full-scale jewel heist, Tony and his crew appear to get away clean, but their actions after the job is completed threaten the lives of everyone involved.","italian, jewelry, safe, night club, burglary, newspaper stand, rough, silhouetted dancer, cigarette lighter, tuberculosis, cleaners",Drama,Missing,fr,"English, Français, Italiano","Société Nationale Pathé Cinéma, Prima Films, Indusfilms",France,Jules Dassin,4/13/55,122,Released,"[""Rififi""] ...means Trouble!",Missing,tt0048021,0,460226,1955
1625,Hercules,Hercules,14.048694,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!","hades, musical, peasant, animation, aftercreditsstinger, olympus, hercules",Animation,Missing,en,"English, Español, ελληνικά",Walt Disney Pictures,United States of America,"Ron Clements, John Musker",6/26/97,93,Released,Zero to Hero!,Missing,tt0119282,85000000,252712101,1997
1626,Death Race,Death Race,13.53003,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.","car race, dystopia, matter of life and death, prison guard, car set on fire, escape from prison, exploding building, vehicle combat, car crash, violence",Action,Death Race Collection,en,English,"Universal Pictures, Cruise/Wagner Productions, Impact Pictures, Relativity Media, Scion Films, H2S2 Filmproduktionsgesellschaft","United Kingdom, United States of America, Germany",Paul W.S. Anderson,8/22/08,105,Released,Get ready for a killer race.,http://www.deathracemovie.net/,tt0452608,45000000,73762516,2008
1627,Being Flynn,Being Flynn,4.494016,"During his twenties, a young man works at various homeless shelters in Boston, where he often intersects with his brilliant but troubled father.","homeless, lice",Drama,Missing,en,"English, Français","Depth of Field, Focus Features, Tribeca Productions, Corduroy Films",United States of America,Paul Weitz,3/2/12,102,Released,We're All Works In Progress,Missing,tt0455323,0,540152,2012
1628,High Road to China,High Road to China,2.738,A biplane pilot is saddled with a spoiled industrialist's daughter on a search for her missing father through Asia that eventually involves them in a struggle against a Chinese warlord.,"china, nepal, pilot, afghanistan, aerial combat, alcoholic, socialite, biplane, declared dead",Adventure,Missing,en,English,"Jadran Film, Warner Bros., City Films","United States of America, Hong Kong, Croatia",Brian G. Hutton,3/18/83,105,Released,Tom Selleck takes you on a high adventure!,Missing,tt0085678,0,28400000,1983
1629,The French Connection,The French Connection,6.694959,Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,"police brutality, marseille, night life, attempted murder, drug dealer, drug mule, gangster boss, drug smuggle, undercover agent, hijacking of train, herion",Action,French Connection Collection,en,"English, Français","Twentieth Century Fox Film Corporation, D'Antoni Productions, Schine-Moore Productions",United States of America,William Friedkin,10/9/71,104,Released,There are no rules and no holds barred when Popeye cuts loose!,Missing,tt0067116,1800000,41158757,1971
1630,Uninvited Guest,Uninvited Guest,0.269126,"During a small gathering, a smooth, seductive stranger is invited into a couple's house party and falls in love with the wife. Turns out the stranger is an escaped convict who demands that the wife leave the country with him and threatens to kill anyone who stands in his way.",suspense,Drama,Missing,en,English,,United States of America,Timothy Wayne Folsome,6/1/99,116,Released,Missing,Missing,tt0188694,0,170832,1999
1631,Transformers: The Last Knight,Transformers: The Last Knight,39.186819,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.","knight, transformers",Action,Transformers Collection,en,English,"Paramount Pictures, Di Bonaventura Pictures, Angry Films, Hasbro Studios",United States of America,Michael Bay,6/21/17,149,Released,"For one world to live, the other must die.",http://www.transformersmovie.com/,tt3371366,260000000,604942143,2017
1632,In Bruges,In Bruges,9.895652,"Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected.","bruges belgium, town square, vietnamese, canadian stereotype, skinned alive, gruuthuse museum bruges",Comedy,Missing,en,English,"Blueprint Pictures, Scion Films, Film4, Focus Features, Twins Financing","United Kingdom, United States of America",Martin McDonagh,2/8/08,107,Released,Shoot first. Sightsee later.,http://www.filminfocus.com/film/in_bruges,tt0780536,15000000,34533783,2008
1633,Tri bogatyrya i Shamakhanskaya tsaritsa,Три богатыря и Шамаханская царица,1.412333,"This is the fourth and final of a series of animated films based on Russian folk legends. A bogatyr is an epic warrior from ancient Kievan Rus. Most are directed in the traditional bylinas, traditional Russian epic poems, as being endowed with enormous strength and cunning, although often not completely immune to human weaknesses. Here, our three heroes gather together once more to rescue the ruler of the land from the attempts of an evil foreign queen. She plans to make him fall in love with her so her youth and beauty can be renewed, but in exchange will destroy his kingdom.",Missing,Animation,Three Heroes Collection,ru,Pусский,,Russia,Sergei Glezin,12/29/10,73,Released,Missing,http://3bogatirya.ru/,tt1796657,3000000,19010585,2010
1634,Pokémon: The Movie 2000,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,7.554848,"Ash Ketchum must put his skill to the test when he attempts to save the world from destruction. The Greedy Pokemon collector Lawrence III throws the universe into chaos after disrupting the balance of nature by capturing one of the Pokemon birds that rule the elements of fire, lightning and ice. Will Ash have what it takes to save the world?","bird, collector, fighter, duel, nature, anime",Adventure,Pokémon Collection,ja,"日本語, English","TV Tokyo, Warner Bro. Japan, 4Kids Entertainment, Oriental Light and Magic, Nintendo, GAME FREAKS, Creatures","Japan, United States of America","Michael Haigney, Kunihiko Yuyama",7/17/99,84,Released,One Person Can Make All The Difference!,http://p2kmovie.warnerbros.com/index2.html,tt0210234,30000000,133949270,1999
1635,Rocky II,Rocky II,11.789813,"After Rocky goes the distance with champ Apollo Creed, both try to put the fight behind them and move on. Rocky settles down with Adrian but can't put his life together outside the ring, while Creed seeks a rematch to restore his reputation. Soon enough, the ""Master of Disaster"" and the ""Italian Stallion"" are set on a collision course for a climactic battle that is brutal and unforgettable.","transporter, coma, wife husband relationship, intensive care, hero, love of one's life, publicity, boxer, boxing match, training, world champion, victory, sport, hospital",Drama,Rocky Collection,en,English,United Artists,United States of America,Sylvester Stallone,6/15/79,119,Released,Once he fought for a dream. Now he's fighting for love!,Missing,tt0079817,7000000,200182160,1979
